ts_s,tok_per_s,tflops,peak_gb
15.1,87027.1,1.3229,3.851
30.8,83383.1,1.2675,3.851
46.5,83351.3,1.2670,3.851
62.2,83385.0,1.2675,3.851
78.0,83328.0,1.2666,3.851
93.7,83352.3,1.2670,3.851
109.4,83378.1,1.2674,3.851
124.8,80695.6,1.2266,3.851
140.1,86060.8,1.3082,3.851
155.8,83375.5,1.2674,3.851
171.5,83330.8,1.2667,3.851
187.2,83331.6,1.2667,3.851
203.0,83321.0,1.2665,3.851
218.7,83289.1,1.2660,3.851
234.4,83271.7,1.2658,3.851
250.2,83311.7,1.2664,3.851
265.9,83263.3,1.2657,3.851
281.6,83374.8,1.2674,3.851
297.4,83404.6,1.2678,3.851
313.1,83308.4,1.2663,3.851
328.8,83281.8,1.2659,3.851
344.6,83293.7,1.2661,3.851
360.3,83351.8,1.2670,3.851
375.5,103739.5,1.5769,3.851
390.7,219100.8,3.3305,3.851
405.9,219273.8,3.3331,3.851
421.2,219169.3,3.3315,3.851
436.5,219072.6,3.3300,3.851
451.7,219320.1,3.3338,3.851
467.0,219115.6,3.3307,3.851
482.2,219017.6,3.3292,3.851
497.5,219236.6,3.3325,3.851
512.7,219111.2,3.3306,3.851
528.0,219234.1,3.3325,3.851
543.2,219145.1,3.3311,3.851
558.4,219288.3,3.3333,3.851
573.7,218994.9,3.3289,3.851
589.0,219320.4,3.3338,3.851
