ts_s,tok_per_s,tflops,peak_gb
15.2,166149.6,4.5598,2.651
30.4,164175.5,4.5056,2.651
45.5,164224.7,4.5069,2.651
60.7,164161.8,4.5052,2.651
75.9,164093.8,4.5033,2.651
91.0,164075.5,4.5028,2.651
106.2,164080.9,4.5030,2.651
121.4,164061.5,4.5025,2.651
136.6,164174.4,4.5056,2.651
151.8,164027.1,4.5015,2.651
166.9,164088.2,4.5032,2.651
182.1,164118.9,4.5040,2.651
197.3,164149.4,4.5049,2.651
212.4,162723.1,4.4657,2.651
227.4,165330.6,4.5373,2.651
242.6,164042.0,4.5019,2.651
257.8,162390.1,4.4566,2.651
272.9,164107.8,4.5037,2.651
288.1,164077.4,4.5029,2.651
303.3,163991.9,4.5005,2.651
318.5,164085.0,4.5031,2.651
333.7,164088.2,4.5032,2.651
348.8,164092.9,4.5033,2.651
364.0,164068.5,4.5026,2.651
379.2,164108.5,4.5037,2.651
394.4,163989.7,4.5005,2.651
409.5,164137.6,4.5045,2.651
424.7,164108.4,4.5037,2.651
439.9,164099.4,4.5035,2.651
455.1,164122.0,4.5041,2.651
470.2,164180.9,4.5057,2.651
485.4,164162.1,4.5052,2.651
500.6,164028.0,4.5015,2.651
515.8,164129.8,4.5043,2.651
530.9,164038.4,4.5018,2.651
546.1,164139.8,4.5046,2.651
561.3,164069.6,4.5027,2.651
576.5,164105.6,4.5037,2.651
591.6,164075.6,4.5028,2.651
