2026/07/30 10:08:04.666, 53, 210 MHz, 2.01 W, 0 %
2026/07/30 10:08:09.840, 53, 210 MHz, 1.89 W, 0 %
2026/07/30 10:08:15.017, 54, 1890 MHz, 4.56 W, 6 %
2026/07/30 10:08:20.194, 55, 1890 MHz, 10.53 W, 0 %
2026/07/30 10:08:25.352, 55, 375 MHz, 6.43 W, 8 %
2026/07/30 10:08:32.639, 63, 1650 MHz, 41.20 W, 100 %
2026/07/30 10:08:37.867, 62, 1575 MHz, 40.72 W, 100 %
2026/07/30 10:08:43.018, 63, 1695 MHz, 46.22 W, 100 %
2026/07/30 10:08:48.210, 65, 2040 MHz, 56.31 W, 100 %
2026/07/30 10:08:53.412, 67, 2085 MHz, 57.71 W, 100 %
2026/07/30 10:08:58.605, 66, 1740 MHz, 47.32 W, 100 %
2026/07/30 10:09:03.788, 68, 2040 MHz, 57.78 W, 100 %
2026/07/30 10:09:08.901, 68, 1830 MHz, 52.60 W, 100 %
2026/07/30 10:09:14.039, 68, 1845 MHz, 52.55 W, 100 %
2026/07/30 10:09:19.212, 68, 1770 MHz, 39.55 W, 100 %
2026/07/30 10:09:24.396, 70, 1860 MHz, 43.75 W, 100 %
2026/07/30 10:09:29.566, 69, 1755 MHz, 39.46 W, 100 %
2026/07/30 10:09:34.728, 71, 1650 MHz, 39.16 W, 100 %
2026/07/30 10:09:39.901, 71, 1650 MHz, 40.81 W, 100 %
2026/07/30 10:09:45.104, 72, 1845 MHz, 53.90 W, 100 %
2026/07/30 10:09:50.283, 74, 1950 MHz, 60.56 W, 100 %
2026/07/30 10:09:55.443, 73, 1785 MHz, 51.40 W, 100 %
2026/07/30 10:10:00.610, 73, 1770 MHz, 45.83 W, 100 %
2026/07/30 10:10:05.778, 74, 1905 MHz, 50.83 W, 100 %
2026/07/30 10:10:10.952, 74, 1905 MHz, 51.53 W, 100 %
2026/07/30 10:10:16.138, 75, 1860 MHz, 54.27 W, 100 %
2026/07/30 10:10:21.329, 74, 1590 MHz, 47.90 W, 100 %
2026/07/30 10:10:26.477, 75, 1815 MHz, 43.54 W, 100 %
2026/07/30 10:10:31.607, 77, 1650 MHz, 39.45 W, 98 %
2026/07/30 10:10:36.763, 75, 1245 MHz, 43.83 W, 100 %
2026/07/30 10:10:41.938, 78, 1830 MHz, 54.21 W, 100 %
2026/07/30 10:10:47.086, 78, 1890 MHz, 52.63 W, 100 %
2026/07/30 10:10:52.260, 77, 1725 MHz, 52.94 W, 100 %
2026/07/30 10:10:57.423, 77, 1650 MHz, 40.97 W, 100 %
2026/07/30 10:11:02.599, 77, 1800 MHz, 50.73 W, 100 %
2026/07/30 10:11:07.768, 79, 1950 MHz, 54.70 W, 100 %
2026/07/30 10:11:12.930, 79, 1800 MHz, 52.54 W, 100 %
2026/07/30 10:11:18.119, 79, 1860 MHz, 55.86 W, 100 %
2026/07/30 10:11:23.316, 79, 1890 MHz, 49.55 W, 99 %
2026/07/30 10:11:28.476, 78, 1770 MHz, 42.34 W, 100 %
2026/07/30 10:11:33.648, 80, 1500 MHz, 45.51 W, 100 %
2026/07/30 10:11:38.845, 80, 1740 MHz, 50.47 W, 100 %
2026/07/30 10:11:44.035, 78, 1530 MHz, 44.65 W, 100 %
2026/07/30 10:11:49.188, 79, 1575 MHz, 40.21 W, 100 %
2026/07/30 10:11:54.350, 80, 1590 MHz, 40.06 W, 100 %
2026/07/30 10:11:59.499, 81, 1665 MHz, 39.84 W, 100 %
2026/07/30 10:12:04.700, 81, 1620 MHz, 39.83 W, 100 %
2026/07/30 10:12:09.874, 82, 1290 MHz, 39.58 W, 100 %
2026/07/30 10:12:15.039, 82, 1530 MHz, 40.12 W, 100 %
2026/07/30 10:12:20.206, 84, 1320 MHz, 39.86 W, 100 %
2026/07/30 10:12:25.378, 85, 1290 MHz, 39.95 W, 100 %
2026/07/30 10:12:30.544, 83, 1530 MHz, 39.75 W, 100 %
2026/07/30 10:12:35.735, 84, 1575 MHz, 39.87 W, 100 %
2026/07/30 10:12:40.923, 84, 1575 MHz, 39.83 W, 100 %
2026/07/30 10:12:46.123, 84, 1545 MHz, 40.28 W, 100 %
2026/07/30 10:12:51.373, 84, 1605 MHz, 41.46 W, 100 %
2026/07/30 10:12:56.734, 87, 1500 MHz, 46.77 W, 100 %
2026/07/30 10:13:02.013, 85, 1695 MHz, 42.39 W, 100 %
2026/07/30 10:13:07.330, 85, 1230 MHz, 47.97 W, 100 %
2026/07/30 10:13:12.673, 85, 2205 MHz, 25.67 W, 51 %
2026/07/30 10:13:18.018, 87, 1560 MHz, 49.97 W, 98 %
2026/07/30 10:13:23.343, 87, 2235 MHz, 53.39 W, 70 %
2026/07/30 10:13:28.667, 86, 1725 MHz, 50.00 W, 100 %
2026/07/30 10:13:34.068, 86, 1380 MHz, 48.48 W, 100 %
2026/07/30 10:13:39.805, 86, 2580 MHz, 41.70 W, 28 %
2026/07/30 10:13:45.402, 86, 2490 MHz, 45.98 W, 33 %
2026/07/30 10:13:50.915, 87, 2580 MHz, 46.21 W, 43 %
2026/07/30 10:13:56.539, 87, 2580 MHz, 44.88 W, 20 %
2026/07/30 10:14:01.992, 88, 1800 MHz, 49.34 W, 67 %
2026/07/30 10:14:07.362, 86, 1680 MHz, 51.18 W, 99 %
2026/07/30 10:14:12.672, 87, 1905 MHz, 55.38 W, 91 %
2026/07/30 10:14:18.488, 85, 2325 MHz, 45.10 W, 31 %
2026/07/30 10:14:23.933, 86, 1890 MHz, 45.90 W, 65 %
2026/07/30 10:14:29.395, 86, 1545 MHz, 49.74 W, 100 %
2026/07/30 10:14:35.248, 87, 2025 MHz, 49.60 W, 80 %
2026/07/30 10:14:40.693, 90, 2520 MHz, 41.93 W, 32 %
2026/07/30 10:14:46.129, 85, 2055 MHz, 48.75 W, 81 %
2026/07/30 10:14:51.667, 88, 1980 MHz, 43.85 W, 54 %
2026/07/30 10:14:57.255, 87, 2535 MHz, 47.33 W, 28 %
2026/07/30 10:15:02.860, 87, 1650 MHz, 55.32 W, 99 %
2026/07/30 10:15:08.343, 86, 2370 MHz, 41.85 W, 53 %
2026/07/30 10:15:14.002, 88, 2115 MHz, 40.00 W, 27 %
2026/07/30 10:15:19.606, 86, 2400 MHz, 41.72 W, 29 %
2026/07/30 10:15:25.188, 85, 2160 MHz, 43.50 W, 76 %
2026/07/30 10:15:30.658, 86, 1545 MHz, 39.85 W, 53 %
2026/07/30 10:15:36.285, 87, 2115 MHz, 45.91 W, 42 %
2026/07/30 10:15:41.748, 86, 2055 MHz, 39.75 W, 75 %
2026/07/30 10:15:47.629, 87, 2445 MHz, 76.90 W, 34 %
2026/07/30 10:15:53.168, 88, 2085 MHz, 44.49 W, 69 %
2026/07/30 10:15:58.932, 87, 2535 MHz, 40.85 W, 37 %
2026/07/30 10:16:04.801, 92, 1830 MHz, 47.54 W, 51 %
2026/07/30 10:16:10.305, 87, 1545 MHz, 45.63 W, 78 %
2026/07/30 10:16:15.656, 86, 2280 MHz, 36.64 W, 28 %
2026/07/30 10:16:21.148, 87, 2025 MHz, 36.95 W, 33 %
2026/07/30 10:16:26.845, 87, 2445 MHz, 38.01 W, 18 %
2026/07/30 10:16:32.562, 86, 2490 MHz, 38.17 W, 22 %
2026/07/30 10:16:38.182, 87, 2580 MHz, 48.91 W, 31 %
2026/07/30 10:16:43.861, 86, 2205 MHz, 35.17 W, 42 %
2026/07/30 10:16:49.578, 86, 2355 MHz, 44.76 W, 43 %
2026/07/30 10:16:55.257, 86, 2385 MHz, 37.03 W, 18 %
2026/07/30 10:17:01.005, 88, 2250 MHz, 42.12 W, 33 %
2026/07/30 10:17:06.549, 86, 2580 MHz, 44.37 W, 24 %
2026/07/30 10:17:12.301, 87, 1830 MHz, 53.21 W, 98 %
2026/07/30 10:17:17.615, 87, 1860 MHz, 55.30 W, 100 %
2026/07/30 10:17:22.882, 86, 1845 MHz, 52.92 W, 100 %
2026/07/30 10:17:28.098, 86, 2010 MHz, 54.12 W, 100 %
2026/07/30 10:17:33.517, 85, 1875 MHz, 52.46 W, 100 %
2026/07/30 10:17:38.835, 85, 1860 MHz, 54.88 W, 100 %
2026/07/30 10:17:44.049, 87, 2295 MHz, 58.61 W, 100 %
2026/07/30 10:17:49.227, 87, 2145 MHz, 61.19 W, 100 %
2026/07/30 10:17:54.415, 87, 1560 MHz, 56.76 W, 100 %
2026/07/30 10:17:59.615, 86, 1950 MHz, 59.01 W, 100 %
2026/07/30 10:18:04.823, 87, 1605 MHz, 59.85 W, 100 %
2026/07/30 10:18:10.061, 86, 1560 MHz, 51.46 W, 100 %
2026/07/30 10:18:15.257, 86, 1845 MHz, 59.89 W, 100 %
2026/07/30 10:18:20.431, 87, 1995 MHz, 60.83 W, 100 %
2026/07/30 10:18:25.638, 86, 1860 MHz, 61.37 W, 100 %
2026/07/30 10:18:30.821, 87, 1680 MHz, 60.62 W, 100 %
2026/07/30 10:18:35.996, 88, 1545 MHz, 59.30 W, 100 %
2026/07/30 10:18:41.165, 87, 2040 MHz, 60.55 W, 100 %
2026/07/30 10:18:46.345, 85, 1830 MHz, 50.94 W, 100 %
2026/07/30 10:18:51.522, 85, 1800 MHz, 59.71 W, 100 %
2026/07/30 10:18:56.695, 85, 1545 MHz, 45.69 W, 100 %
